"","PassengerId","Survived","Pclass","Name","Sex","SibSp","Parch","Ticket","Cabin","Age","Fare","new_Embarked"
"19",19,0,"3","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",1,0,"345763","",31,18,"3"
"20",20,1,"3","Masselmani, Mrs. Fatima","female",0,0,"2649","",22,7.225,"1"
"21",21,0,"2","Fynney, Mr. Joseph J","male",0,0,"239865","",35,26,"3"
"22",22,1,"2","Beesley, Mr. Lawrence","male",0,0,"248698","D56",34,13,"3"
"23",23,1,"3","McGowan, Miss. Anna ""Annie""","female",0,0,"330923","",15,8.0292,"2"
"24",24,1,"1","Sloper, Mr. William Thompson","male",0,0,"113788","A6",28,35.5,"3"
"25",25,0,"3","Palsson, Miss. Torborg Danira","female",3,1,"349909","",8,21.075,"3"
"26",26,1,"3","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",1,5,"347077","",38,31.3875,"3"
"27",27,0,"3","Emir, Mr. Farred Chehab","male",0,0,"2631","",16,7.225,"1"
"28",28,0,"1","Fortune, Mr. Charles Alexander","male",3,2,"19950","C23 C25 C27",19,263,"3"
"29",29,1,"3","O'Dwyer, Miss. Ellen ""Nellie""","female",0,0,"330959","",40,7.8792,"2"
"30",30,0,"3","Todoroff, Mr. Lalio","male",0,0,"349216","",25,7.8958,"3"
"31",31,0,"1","Uruchurtu, Don. Manuel E","male",0,0,"PC 17601","",40,27.7208,"1"
"32",32,1,"1","Spencer, Mrs. William Augustus (Marie Eugenie)","female",1,0,"PC 17569","B78",15,146.5208,"1"
"33",33,1,"3","Glynn, Miss. Mary Agatha","female",0,0,"335677","",25,7.75,"2"
"34",34,0,"2","Wheadon, Mr. Edward H","male",0,0,"C.A. 24579","",66,10.5,"3"
"35",35,0,"1","Meyer, Mr. Edgar Joseph","male",1,0,"PC 17604","",28,82.1708,"1"
"36",36,0,"1","Holverson, Mr. Alexander Oskar","male",1,0,"113789","",42,52,"3"
"37",37,1,"3","Mamee, Mr. Hanna","male",0,0,"2677","",7,7.2292,"1"
"38",38,0,"3","Cann, Mr. Ernest Charles","male",0,0,"A./5. 2152","",21,8.05,"3"
"39",39,0,"3","Vander Planke, Miss. Augusta Maria","female",2,0,"345764","",18,18,"3"
"40",40,1,"3","Nicola-Yarred, Miss. Jamila","female",1,0,"2651","",14,11.2417,"1"
"41",41,0,"3","Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",1,0,"7546","",40,9.475,"3"
"42",42,0,"2","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","female",1,0,"11668","",27,21,"3"
"43",43,0,"3","Kraeff, Mr. Theodor","male",0,0,"349253","",16,7.8958,"1"
"44",44,1,"2","Laroche, Miss. Simonne Marie Anne Andree","female",1,2,"SC/Paris 2123","",3,41.5792,"1"
"45",45,1,"3","Devaney, Miss. Margaret Delia","female",0,0,"330958","",19,7.8792,"2"
"46",46,0,"3","Rogers, Mr. William John","male",0,0,"S.C./A.4. 23567","",39,8.05,"3"
"47",47,0,"3","Lennon, Mr. Denis","male",1,0,"370371","",36,15.5,"2"
"48",48,1,"3","O'Driscoll, Miss. Bridget","female",0,0,"14311","",25,7.75,"2"
"49",49,0,"3","Samaan, Mr. Youssef","male",2,0,"2662","",17,21.6792,"1"
"50",50,0,"3","Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",1,0,"349237","",18,17.8,"3"
"51",51,0,"3","Panula, Master. Juha Niilo","male",4,1,"3101295","",7,39.6875,"3"
"52",52,0,"3","Nosworthy, Mr. Richard Cater","male",0,0,"A/4. 39886","",21,7.8,"3"
"53",53,1,"1","Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",1,0,"PC 17572","D33",49,76.7292,"1"
"54",54,1,"2","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",1,0,"2926","",29,26,"3"
"55",55,0,"1","Ostby, Mr. Engelhart Cornelius","male",0,1,"113509","B30",65,61.9792,"1"
"56",56,1,"1","Woolner, Mr. Hugh","male",0,0,"19947","C52",22,35.5,"3"
"57",57,1,"2","Rugg, Miss. Emily","female",0,0,"C.A. 31026","",21,10.5,"3"
"58",58,0,"3","Novel, Mr. Mansouer","male",0,0,"2697","",28.5,7.2292,"1"
"59",59,1,"2","West, Miss. Constance Mirium","female",1,2,"C.A. 34651","",5,27.75,"3"
"60",60,0,"3","Goodwin, Master. William Frederick","male",5,2,"CA 2144","",11,46.9,"3"
"61",61,0,"3","Sirayanian, Mr. Orsen","male",0,0,"2669","",22,7.2292,"1"
"62",62,1,"1","Icard, Miss. Amelie","female",0,0,"113572","B28",38,80,"3"
"63",63,0,"1","Harris, Mr. Henry Birkhardt","male",1,0,"36973","C83",45,83.475,"3"
"64",64,0,"3","Skoog, Master. Harald","male",3,2,"347088","",4,27.9,"3"
"65",65,0,"1","Stewart, Mr. Albert A","male",0,0,"PC 17605","",24,27.7208,"1"
"66",66,1,"3","Moubarek, Master. Gerios","male",1,1,"2661","",55,15.2458,"1"
"67",67,1,"2","Nye, Mrs. (Elizabeth Ramell)","female",0,0,"C.A. 29395","F33",29,10.5,"3"
"68",68,0,"3","Crease, Mr. Ernest James","male",0,0,"S.P. 3464","",19,8.1583,"3"
"69",69,1,"3","Andersson, Miss. Erna Alexandra","female",4,2,"3101281","",17,7.925,"3"
"70",70,0,"3","Kink, Mr. Vincenz","male",2,0,"315151","",26,8.6625,"3"
"71",71,0,"2","Jenkin, Mr. Stephen Curnow","male",0,0,"C.A. 33111","",32,10.5,"3"
"72",72,0,"3","Goodwin, Miss. Lillian Amy","female",5,2,"CA 2144","",16,46.9,"3"
"73",73,0,"2","Hood, Mr. Ambrose Jr","male",0,0,"S.O.C. 14879","",21,73.5,"3"
"74",74,0,"3","Chronopoulos, Mr. Apostolos","male",1,0,"2680","",26,14.4542,"1"
"75",75,1,"3","Bing, Mr. Lee","male",0,0,"1601","",32,56.4958,"3"
"76",76,0,"3","Moen, Mr. Sigurd Hansen","male",0,0,"348123","F G73",25,7.65,"3"
"77",77,0,"3","Staneff, Mr. Ivan","male",0,0,"349208","",49,7.8958,"3"
"78",78,0,"3","Moutal, Mr. Rahamin Haim","male",0,0,"374746","",49,8.05,"3"
"79",79,1,"2","Caldwell, Master. Alden Gates","male",0,2,"248738","",0.83,29,"3"
"80",80,1,"3","Dowdell, Miss. Elizabeth","female",0,0,"364516","",30,12.475,"3"
"81",81,0,"3","Waelens, Mr. Achille","male",0,0,"345767","",22,9,"3"
"82",82,1,"3","Sheerlinck, Mr. Jan Baptist","male",0,0,"345779","",29,9.5,"3"
"83",83,1,"3","McDermott, Miss. Brigdet Delia","female",0,0,"330932","",40,7.7875,"2"
"84",84,0,"1","Carrau, Mr. Francisco M","male",0,0,"113059","",28,47.1,"3"
"85",85,1,"2","Ilett, Miss. Bertha","female",0,0,"SO/C 14885","",17,10.5,"3"
"86",86,1,"3","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",3,0,"3101278","",33,15.85,"3"
"87",87,0,"3","Ford, Mr. William Neal","male",1,3,"W./C. 6608","",16,34.375,"3"
"88",88,0,"3","Slocovski, Mr. Selman Francis","male",0,0,"SOTON/OQ 392086","",25,8.05,"3"
"89",89,1,"1","Fortune, Miss. Mabel Helen","female",3,2,"19950","C23 C25 C27",23,263,"3"
"90",90,0,"3","Celotti, Mr. Francesco","male",0,0,"343275","",24,8.05,"3"
"91",91,0,"3","Christmann, Mr. Emil","male",0,0,"343276","",29,8.05,"3"
"92",92,0,"3","Andreasson, Mr. Paul Edvin","male",0,0,"347466","",20,7.8542,"3"
"93",93,0,"1","Chaffee, Mr. Herbert Fuller","male",1,0,"W.E.P. 5734","E31",46,61.175,"3"
"94",94,0,"3","Dean, Mr. Bertram Frank","male",1,2,"C.A. 2315","",26,20.575,"3"
"95",95,0,"3","Coxon, Mr. Daniel","male",0,0,"364500","",59,7.25,"3"
"96",96,0,"3","Shorney, Mr. Charles Joseph","male",0,0,"374910","",39,8.05,"3"
"97",97,0,"1","Goldschmidt, Mr. George B","male",0,0,"PC 17754","A5",71,34.6542,"1"
"98",98,1,"1","Greenfield, Mr. William Bertram","male",0,1,"PC 17759","D10 D12",23,63.3583,"1"
"99",99,1,"2","Doling, Mrs. John T (Ada Julia Bone)","female",0,1,"231919","",34,23,"3"
"100",100,0,"2","Kantor, Mr. Sinai","male",1,0,"244367","",34,26,"3"
"101",101,0,"3","Petranec, Miss. Matilda","female",0,0,"349245","",28,7.8958,"3"
"102",102,0,"3","Petroff, Mr. Pastcho (""Pentcho"")","male",0,0,"349215","",19,7.8958,"3"
"103",103,0,"1","White, Mr. Richard Frasar","male",0,1,"35281","D26",21,77.2875,"3"
"104",104,0,"3","Johansson, Mr. Gustaf Joel","male",0,0,"7540","",33,8.6542,"3"
"105",105,0,"3","Gustafsson, Mr. Anders Vilhelm","male",2,0,"3101276","",37,7.925,"3"
"106",106,0,"3","Mionoff, Mr. Stoytcho","male",0,0,"349207","",28,7.8958,"3"
"107",107,1,"3","Salkjelsvik, Miss. Anna Kristine","female",0,0,"343120","",21,7.65,"3"
"108",108,1,"3","Moss, Mr. Albert Johan","male",0,0,"312991","",25,7.775,"3"
"109",109,0,"3","Rekic, Mr. Tido","male",0,0,"349249","",38,7.8958,"3"
"110",110,1,"3","Moran, Miss. Bertha","female",1,0,"371110","",19,24.15,"2"
"111",111,0,"1","Porter, Mr. Walter Chamberlain","male",0,0,"110465","C110",47,52,"3"
"112",112,0,"3","Zabour, Miss. Hileni","female",1,0,"2665","",14.5,14.4542,"1"
"113",113,0,"3","Barton, Mr. David John","male",0,0,"324669","",22,8.05,"3"
"114",114,0,"3","Jussila, Miss. Katriina","female",1,0,"4136","",20,9.825,"3"
"115",115,0,"3","Attalah, Miss. Malake","female",0,0,"2627","",17,14.4583,"1"
"116",116,0,"3","Pekoniemi, Mr. Edvard","male",0,0,"STON/O 2. 3101294","",21,7.925,"3"
"117",117,0,"3","Connors, Mr. Patrick","male",0,0,"370369","",70.5,7.75,"2"
"118",118,0,"2","Turpin, Mr. William John Robert","male",1,0,"11668","",29,21,"3"
"119",119,0,"1","Baxter, Mr. Quigg Edmond","male",0,1,"PC 17558","B58 B60",24,247.5208,"1"
"120",120,0,"3","Andersson, Miss. Ellis Anna Maria","female",4,2,"347082","",2,31.275,"3"
"121",121,0,"2","Hickman, Mr. Stanley George","male",2,0,"S.O.C. 14879","",21,73.5,"3"
"122",122,0,"3","Moore, Mr. Leonard Charles","male",0,0,"A4. 54510","",25,8.05,"3"
"123",123,0,"2","Nasser, Mr. Nicholas","male",1,0,"237736","",32.5,30.0708,"1"
"124",124,1,"2","Webber, Miss. Susan","female",0,0,"27267","E101",32.5,13,"3"
"125",125,0,"1","White, Mr. Percival Wayland","male",0,1,"35281","D26",54,77.2875,"3"
"126",126,1,"3","Nicola-Yarred, Master. Elias","male",1,0,"2651","",12,11.2417,"1"
"127",127,0,"3","McMahon, Mr. Martin","male",0,0,"370372","",49,7.75,"2"
"128",128,1,"3","Madsen, Mr. Fridtjof Arne","male",0,0,"C 17369","",24,7.1417,"3"
"129",129,1,"3","Peter, Miss. Anna","female",1,1,"2668","F E69",32,22.3583,"1"
"130",130,0,"3","Ekstrom, Mr. Johan","male",0,0,"347061","",45,6.975,"3"
"131",131,0,"3","Drazenoic, Mr. Jozef","male",0,0,"349241","",33,7.8958,"1"
"132",132,0,"3","Coelho, Mr. Domingos Fernandeo","male",0,0,"SOTON/O.Q. 3101307","",20,7.05,"3"
"133",133,0,"3","Robins, Mrs. Alexander A (Grace Charity Laury)","female",1,0,"A/5. 3337","",47,14.5,"3"
"134",134,1,"2","Weisz, Mrs. Leopold (Mathilde Francoise Pede)","female",1,0,"228414","",29,26,"3"
"135",135,0,"2","Sobey, Mr. Samuel James Hayden","male",0,0,"C.A. 29178","",25,13,"3"
"136",136,0,"2","Richard, Mr. Emile","male",0,0,"SC/PARIS 2133","",23,15.0458,"1"
"137",137,1,"1","Newsom, Miss. Helen Monypeny","female",0,2,"11752","D47",19,26.2833,"3"
"138",138,0,"1","Futrelle, Mr. Jacques Heath","male",1,0,"113803","C123",37,53.1,"3"
"139",139,0,"3","Osen, Mr. Olaf Elon","male",0,0,"7534","",16,9.2167,"3"
"140",140,0,"1","Giglio, Mr. Victor","male",0,0,"PC 17593","B86",24,79.2,"1"
"141",141,0,"3","Boulos, Mrs. Joseph (Sultana)","female",0,2,"2678","",25,15.2458,"1"
"142",142,1,"3","Nysten, Miss. Anna Sofia","female",0,0,"347081","",22,7.75,"3"
"143",143,1,"3","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","female",1,0,"STON/O2. 3101279","",24,15.85,"3"
"144",144,0,"3","Burke, Mr. Jeremiah","male",0,0,"365222","",19,6.75,"2"
"145",145,0,"2","Andrew, Mr. Edgardo Samuel","male",0,0,"231945","",18,11.5,"3"
"146",146,0,"2","Nicholls, Mr. Joseph Charles","male",1,1,"C.A. 33112","",19,36.75,"3"
"147",147,1,"3","Andersson, Mr. August Edvard (""Wennerstrom"")","male",0,0,"350043","",27,7.7958,"3"
"148",148,0,"3","Ford, Miss. Robina Maggie ""Ruby""","female",2,2,"W./C. 6608","",9,34.375,"3"
"149",149,0,"2","Navratil, Mr. Michel (""Louis M Hoffman"")","male",0,2,"230080","F2",36.5,26,"3"
"150",150,0,"2","Byles, Rev. Thomas Roussel Davids","male",0,0,"244310","",42,13,"3"
"151",151,0,"2","Bateman, Rev. Robert James","male",0,0,"S.O.P. 1166","",51,12.525,"3"
"152",152,1,"1","Pears, Mrs. Thomas (Edith Wearne)","female",1,0,"113776","C2",22,66.6,"3"
"153",153,0,"3","Meo, Mr. Alfonzo","male",0,0,"A.5. 11206","",55.5,8.05,"3"
"154",154,0,"3","van Billiard, Mr. Austin Blyler","male",0,2,"A/5. 851","",40.5,14.5,"3"
"155",155,0,"3","Olsen, Mr. Ole Martin","male",0,0,"Fa 265302","",40,7.3125,"3"
"156",156,0,"1","Williams, Mr. Charles Duane","male",0,1,"PC 17597","",51,61.3792,"1"
"157",157,1,"3","Gilnagh, Miss. Katherine ""Katie""","female",0,0,"35851","",16,7.7333,"2"
"158",158,0,"3","Corn, Mr. Harry","male",0,0,"SOTON/OQ 392090","",30,8.05,"3"
"159",159,0,"3","Smiljanic, Mr. Mile","male",0,0,"315037","",40,8.6625,"3"
"160",160,0,"3","Sage, Master. Thomas Henry","male",8,2,"CA. 2343","",24,69.55,"3"
"161",161,0,"3","Cribb, Mr. John Hatfield","male",0,1,"371362","",44,16.1,"3"
"162",162,1,"2","Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","female",0,0,"C.A. 33595","",40,15.75,"3"
"163",163,0,"3","Bengtsson, Mr. John Viktor","male",0,0,"347068","",26,7.775,"3"
"164",164,0,"3","Calic, Mr. Jovo","male",0,0,"315093","",17,8.6625,"3"
"165",165,0,"3","Panula, Master. Eino Viljami","male",4,1,"3101295","",1,39.6875,"3"
"166",166,1,"3","Goldsmith, Master. Frank John William ""Frankie""","male",0,2,"363291","",9,20.525,"3"
"167",167,1,"1","Chibnall, Mrs. (Edith Martha Bowerman)","female",0,1,"113505","E33",32,55,"3"
"168",168,0,"3","Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",1,4,"347088","",45,27.9,"3"
"169",169,0,"1","Baumann, Mr. John D","male",0,0,"PC 17318","",24,25.925,"3"
"170",170,0,"3","Ling, Mr. Lee","male",0,0,"1601","",28,56.4958,"3"
"171",171,0,"1","Van der hoef, Mr. Wyckoff","male",0,0,"111240","B19",61,33.5,"3"
"172",172,0,"3","Rice, Master. Arthur","male",4,1,"382652","",4,29.125,"2"
"173",173,1,"3","Johnson, Miss. Eleanor Ileen","female",1,1,"347742","",1,11.1333,"3"
"174",174,0,"3","Sivola, Mr. Antti Wilhelm","male",0,0,"STON/O 2. 3101280","",21,7.925,"3"
"175",175,0,"1","Smith, Mr. James Clinch","male",0,0,"17764","A7",56,30.6958,"1"
"176",176,0,"3","Klasen, Mr. Klas Albin","male",1,1,"350404","",18,7.8542,"3"
"177",177,0,"3","Lefebre, Master. Henry Forbes","male",3,1,"4133","",3,25.4667,"3"
"178",178,0,"1","Isham, Miss. Ann Elizabeth","female",0,0,"PC 17595","C49",50,28.7125,"1"
"179",179,0,"2","Hale, Mr. Reginald","male",0,0,"250653","",30,13,"3"
"180",180,0,"3","Leonard, Mr. Lionel","male",0,0,"LINE","",36,0,"3"
"181",181,0,"3","Sage, Miss. Constance Gladys","female",8,2,"CA. 2343","",70,69.55,"3"
"182",182,0,"2","Pernot, Mr. Rene","male",0,0,"SC/PARIS 2131","",25,15.05,"1"
"183",183,0,"3","Asplund, Master. Clarence Gustaf Hugo","male",4,2,"347077","",9,31.3875,"3"
"184",184,1,"2","Becker, Master. Richard F","male",2,1,"230136","F4",1,39,"3"
"185",185,1,"3","Kink-Heilmann, Miss. Luise Gretchen","female",0,2,"315153","",4,22.025,"3"
"186",186,0,"1","Rood, Mr. Hugh Roscoe","male",0,0,"113767","A32",30,50,"3"
"187",187,1,"3","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female",1,0,"370365","",49,15.5,"2"
"188",188,1,"1","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male",0,0,"111428","",45,26.55,"3"
"189",189,0,"3","Bourke, Mr. John","male",1,1,"364849","",40,15.5,"2"
"190",190,0,"3","Turcin, Mr. Stjepan","male",0,0,"349247","",36,7.8958,"3"
"191",191,1,"2","Pinsky, Mrs. (Rosa)","female",0,0,"234604","",32,13,"3"
"192",192,0,"2","Carbines, Mr. William","male",0,0,"28424","",19,13,"3"
"193",193,1,"3","Andersen-Jensen, Miss. Carla Christine Nielsine","female",1,0,"350046","",19,7.8542,"3"
"194",194,1,"2","Navratil, Master. Michel M","male",1,1,"230080","F2",3,26,"3"
"195",195,1,"1","Brown, Mrs. James Joseph (Margaret Tobin)","female",0,0,"PC 17610","B4",44,27.7208,"1"
"196",196,1,"1","Lurette, Miss. Elise","female",0,0,"PC 17569","B80",58,146.5208,"1"
"197",197,0,"3","Mernagh, Mr. Robert","male",0,0,"368703","",19,7.75,"2"
"198",198,0,"3","Olsen, Mr. Karl Siegwart Andreas","male",0,1,"4579","",42,8.4042,"3"
"199",199,1,"3","Madigan, Miss. Margaret ""Maggie""","female",0,0,"370370","",40,7.75,"2"
"200",200,0,"2","Yrois, Miss. Henriette (""Mrs Harbeck"")","female",0,0,"248747","",24,13,"3"
"201",201,0,"3","Vande Walle, Mr. Nestor Cyriel","male",0,0,"345770","",28,9.5,"3"
"202",202,0,"3","Sage, Mr. Frederick","male",8,2,"CA. 2343","",70,69.55,"3"
"203",203,0,"3","Johanson, Mr. Jakob Alfred","male",0,0,"3101264","",34,6.4958,"3"
"204",204,0,"3","Youseff, Mr. Gerious","male",0,0,"2628","",45.5,7.225,"1"
"205",205,1,"3","Cohen, Mr. Gurshon ""Gus""","male",0,0,"A/5 3540","",18,8.05,"3"
"206",206,0,"3","Strom, Miss. Telma Matilda","female",0,1,"347054","G6",2,10.4625,"3"
"207",207,0,"3","Backstrom, Mr. Karl Alfred","male",1,0,"3101278","",32,15.85,"3"
"208",208,1,"3","Albimona, Mr. Nassef Cassem","male",0,0,"2699","",26,18.7875,"1"
"209",209,1,"3","Carr, Miss. Helen ""Ellen""","female",0,0,"367231","",16,7.75,"2"
"210",210,1,"1","Blank, Mr. Henry","male",0,0,"112277","A31",40,31,"1"
"211",211,0,"3","Ali, Mr. Ahmed","male",0,0,"SOTON/O.Q. 3101311","",24,7.05,"3"
"212",212,1,"2","Cameron, Miss. Clear Annie","female",0,0,"F.C.C. 13528","",35,21,"3"
"213",213,0,"3","Perkin, Mr. John Henry","male",0,0,"A/5 21174","",22,7.25,"3"
"214",214,0,"2","Givard, Mr. Hans Kristensen","male",0,0,"250646","",30,13,"3"
"215",215,0,"3","Kiernan, Mr. Philip","male",1,0,"367229","",19,7.75,"2"
"216",216,1,"1","Newell, Miss. Madeleine","female",1,0,"35273","D36",31,113.275,"1"
"217",217,1,"3","Honkanen, Miss. Eliina","female",0,0,"STON/O2. 3101283","",27,7.925,"3"
"218",218,0,"2","Jacobsohn, Mr. Sidney Samuel","male",1,0,"243847","",42,27,"3"
"219",219,1,"1","Bazzani, Miss. Albina","female",0,0,"11813","D15",32,76.2917,"1"
"220",220,0,"2","Harris, Mr. Walter","male",0,0,"W/C 14208","",30,10.5,"3"
"221",221,1,"3","Sunderland, Mr. Victor Francis","male",0,0,"SOTON/OQ 392089","",16,8.05,"3"
"222",222,0,"2","Bracken, Mr. James H","male",0,0,"220367","",27,13,"3"
"223",223,0,"3","Green, Mr. George Henry","male",0,0,"21440","",51,8.05,"3"
"224",224,0,"3","Nenkoff, Mr. Christo","male",0,0,"349234","",38,7.8958,"3"
"225",225,1,"1","Hoyt, Mr. Frederick Maxfield","male",1,0,"19943","C93",38,90,"3"
"226",226,0,"3","Berglund, Mr. Karl Ivar Sven","male",0,0,"PP 4348","",22,9.35,"3"
"227",227,1,"2","Mellors, Mr. William John","male",0,0,"SW/PP 751","",19,10.5,"3"
"228",228,0,"3","Lovell, Mr. John Hall (""Henry"")","male",0,0,"A/5 21173","",20.5,7.25,"3"
"229",229,0,"2","Fahlstrom, Mr. Arne Jonas","male",0,0,"236171","",18,13,"3"
"230",230,0,"3","Lefebre, Miss. Mathilde","female",3,1,"4133","",3,25.4667,"3"
"231",231,1,"1","Harris, Mrs. Henry Birkhardt (Irene Wallach)","female",1,0,"36973","C83",35,83.475,"3"
"232",232,0,"3","Larsson, Mr. Bengt Edvin","male",0,0,"347067","",29,7.775,"3"
"233",233,0,"2","Sjostedt, Mr. Ernst Adolf","male",0,0,"237442","",59,13.5,"3"
"234",234,1,"3","Asplund, Miss. Lillian Gertrud","female",4,2,"347077","",5,31.3875,"3"
"235",235,0,"2","Leyson, Mr. Robert William Norman","male",0,0,"C.A. 29566","",24,10.5,"3"
"236",236,0,"3","Harknett, Miss. Alice Phoebe","female",0,0,"W./C. 6609","",19,7.55,"3"
"237",237,0,"2","Hold, Mr. Stephen","male",1,0,"26707","",44,26,"3"
"238",238,1,"2","Collyer, Miss. Marjorie ""Lottie""","female",0,2,"C.A. 31921","",8,26.25,"3"
"239",239,0,"2","Pengelly, Mr. Frederick William","male",0,0,"28665","",19,10.5,"3"
"240",240,0,"2","Hunt, Mr. George Henry","male",0,0,"SCO/W 1585","",33,12.275,"3"
"241",241,0,"3","Zabour, Miss. Thamine","female",1,0,"2665","",30,14.4542,"1"
"242",242,1,"3","Murphy, Miss. Katherine ""Kate""","female",1,0,"367230","",38,15.5,"2"
"243",243,0,"2","Coleridge, Mr. Reginald Charles","male",0,0,"W./C. 14263","",29,10.5,"3"
"244",244,0,"3","Maenpaa, Mr. Matti Alexanteri","male",0,0,"STON/O 2. 3101275","",22,7.125,"3"
"245",245,0,"3","Attalah, Mr. Sleiman","male",0,0,"2694","",30,7.225,"1"
"246",246,0,"1","Minahan, Dr. William Edward","male",2,0,"19928","C78",44,90,"2"
"247",247,0,"3","Lindahl, Miss. Agda Thorilda Viktoria","female",0,0,"347071","",25,7.775,"3"
"248",248,1,"2","Hamalainen, Mrs. William (Anna)","female",0,2,"250649","",24,14.5,"3"
"249",249,1,"1","Beckwith, Mr. Richard Leonard","male",1,1,"11751","D35",37,52.5542,"3"
"250",250,0,"2","Carter, Rev. Ernest Courtenay","male",1,0,"244252","",54,26,"3"
"251",251,0,"3","Reed, Mr. James George","male",0,0,"362316","",25,7.25,"3"
"252",252,0,"3","Strom, Mrs. Wilhelm (Elna Matilda Persson)","female",1,1,"347054","G6",29,10.4625,"3"
"253",253,0,"1","Stead, Mr. William Thomas","male",0,0,"113514","C87",62,26.55,"3"
"254",254,0,"3","Lobb, Mr. William Arthur","male",1,0,"A/5. 3336","",30,16.1,"3"
"255",255,0,"3","Rosblom, Mrs. Viktor (Helena Wilhelmina)","female",0,2,"370129","",41,20.2125,"3"
"256",256,1,"3","Touma, Mrs. Darwis (Hanne Youssef Razi)","female",0,2,"2650","",29,15.2458,"1"
"257",257,1,"1","Thorne, Mrs. Gertrude Maybelle","female",0,0,"PC 17585","",36,79.2,"1"
"258",258,1,"1","Cherry, Miss. Gladys","female",0,0,"110152","B77",30,86.5,"3"
"259",259,1,"1","Ward, Miss. Anna","female",0,0,"PC 17755","",35,512.3292,"1"
"260",260,1,"2","Parrish, Mrs. (Lutie Davis)","female",0,1,"230433","",50,26,"3"
"261",261,0,"3","Smith, Mr. Thomas","male",0,0,"384461","",39,7.75,"2"
"262",262,1,"3","Asplund, Master. Edvin Rojj Felix","male",4,2,"347077","",3,31.3875,"3"
"263",263,0,"1","Taussig, Mr. Emil","male",1,1,"110413","E67",52,79.65,"3"
"264",264,0,"1","Harrison, Mr. William","male",0,0,"112059","B94",40,0,"3"
"265",265,0,"3","Henry, Miss. Delia","female",0,0,"382649","",36,7.75,"2"
"266",266,0,"2","Reeves, Mr. David","male",0,0,"C.A. 17248","",36,10.5,"3"
"267",267,0,"3","Panula, Mr. Ernesti Arvid","male",4,1,"3101295","",16,39.6875,"3"
"268",268,1,"3","Persson, Mr. Ernst Ulrik","male",1,0,"347083","",25,7.775,"3"
"269",269,1,"1","Graham, Mrs. William Thompson (Edith Junkins)","female",0,1,"PC 17582","C125",58,153.4625,"3"
"270",270,1,"1","Bissette, Miss. Amelia","female",0,0,"PC 17760","C99",35,135.6333,"3"
"271",271,0,"1","Cairns, Mr. Alexander","male",0,0,"113798","",48,31,"3"
"272",272,1,"3","Tornquist, Mr. William Henry","male",0,0,"LINE","",25,0,"3"
